Row Labels,Count of Marks
-89,1
-55,1
-40,2
-34,1
-31,1
-30,1
-29,2
-22,3
-20,7
-17,3
-16,4
-15,12
-14,3
-12,3
-11,2
-10,18
-9,9
-8,3
-7,4
-6,10
-5,19
-4,14
-3,12
-2,14
-1,12
0,38
1,20
2,11
3,17
4,16
5,40
6,20
7,17
8,24
9,24
10,42
11,36
12,29
13,31
14,29
15,92
16,44
17,49
18,48
19,46
20,116
21,60
22,59
23,54
24,48
25,129
26,65
27,62
28,65
29,81
30,174
31,81
32,71
33,71
34,82
35,172
36,100
37,85
38,98
39,93
40,200
41,103
42,117
43,98
44,110
45,235
46,128
47,108
48,121
49,124
50,264
51,150
52,137
53,110
54,140
55,287
56,149
57,158
58,150
59,139
60,284
61,150
62,139
63,150
64,157
65,319
66,173
67,168
68,165
69,156
70,331
71,173
72,171
73,190
74,157
75,338
76,172
77,172
78,162
79,173
80,339
81,178
82,175
83,168
84,176
85,330
86,201
87,186
88,185
89,177
90,343
91,197
92,188
93,183
94,179
95,353
96,190
97,210
98,171
99,169
100,301
101,164
102,168
103,157
104,171
105,275
106,167
107,164
108,165
109,162
110,290
111,186
112,193
113,173
114,164
115,268
116,160
117,164
118,150
119,165
120,273
121,162
122,177
123,167
124,159
125,258
126,175
127,168
128,166
129,165
130,236
131,148
132,161
133,140
134,160
135,190
136,146
137,145
138,159
139,142
140,218
141,143
142,134
143,140
144,131
145,224
146,160
147,152
148,143
149,105
150,168
151,132
152,159
153,141
154,153
155,165
156,165
157,118
158,152
159,121
160,141
161,156
162,133
163,121
164,128
165,149
166,128
167,113
168,103
169,121
170,167
171,138
172,115
173,106
174,107
175,165
176,137
177,123
178,87
179,120
180,154
181,130
182,109
183,107
184,138
185,148
186,115
187,119
188,115
189,96
190,154
191,116
192,109
193,104
194,94
195,132
196,136
197,107
198,112
199,108
200,123
201,103
202,117
203,106
204,116
205,123
206,101
207,106
208,80
209,119
210,123
211,98
212,107
213,92
214,110
215,118
216,99
217,104
218,98
219,108
220,105
221,103
222,100
223,99
224,99
225,101
226,106
227,100
228,102
229,102
230,110
231,84
232,105
233,114
234,89
235,109
236,96
237,104
238,103
239,87
240,88
241,92
242,105
243,83
244,93
245,112
246,105
247,100
248,90
249,88
250,104
251,97
252,95
253,108
254,114
255,95
256,97
257,101
258,88
259,91
260,108
261,97
262,86
263,106
264,102
265,109
266,101
267,98
268,87
269,87
270,112
271,101
272,79
273,90
274,94
275,124
276,73
277,95
278,92
279,86
280,119
281,116
282,92
283,98
284,96
285,112
286,88
287,108
288,91
289,76
290,89
291,97
292,94
293,93
294,81
295,113
296,86
297,94
298,82
299,105
300,127
301,101
302,81
303,93
304,79
305,101
306,90
307,79
308,85
309,91
310,105
311,87
312,93
313,104
314,95
315,91
316,84
317,77
318,85
319,92
320,95
321,98
322,84
323,76
324,83
325,106
326,79
327,78
328,79
329,84
330,101
331,87
332,98
333,89
334,97
335,94
336,100
337,82
338,87
339,82
340,82
341,80
342,96
343,114
344,96
345,123
346,84
347,78
348,89
349,86
350,95
351,100
352,94
353,92
354,96
355,89
356,87
357,85
358,86
359,86
360,108
361,92
362,97
363,85
364,88
365,88
366,77
367,98
368,95
369,88
370,93
371,94
372,81
373,103
374,82
375,89
376,69
377,85
378,86
379,86
380,112
381,88
382,97
383,97
384,77
385,94
386,81
387,76
388,77
389,81
390,84
391,104
392,82
393,93
394,87
395,98
396,82
397,87
398,63
399,68
400,91
401,87
402,76
403,80
404,91
405,84
406,77
407,96
408,58
409,92
410,84
411,92
412,83
413,83
414,81
415,82
416,72
417,74
418,79
419,73
420,82
421,67
422,81
423,68
424,80
425,76
426,89
427,68
428,83
429,67
430,84
431,82
432,82
433,88
434,82
435,85
436,85
437,73
438,70
439,61
440,72
441,66
442,78
443,75
444,87
445,72
446,81
447,80
448,72
449,72
450,81
451,63
452,82
453,77
454,65
455,68
456,73
457,60
458,71
459,59
460,80
461,81
462,76
463,77
464,66
465,82
466,61
467,54
468,63
469,60
470,81
471,57
472,67
473,64
474,74
475,76
476,69
477,61
478,68
479,68
480,79
481,85
482,86
483,83
484,71
485,78
486,65
487,64
488,68
489,77
490,75
491,63
492,72
493,64
494,66
495,74
496,63
497,58
498,76
499,56
500,78
501,61
502,75
503,78
504,62
505,59
506,53
507,65
508,53
509,60
510,62
511,52
512,67
513,71
514,53
515,58
516,50
517,50
518,50
519,56
520,60
521,69
522,68
523,46
524,60
525,60
526,66
527,56
528,61
529,59
530,55
531,50
532,59
533,48
534,58
535,59
536,46
537,57
538,47
539,66
540,53
541,51
542,51
543,55
544,42
545,59
546,48
547,48
548,62
549,51
550,53
551,47
552,51
553,57
554,60
555,58
556,61
557,58
558,55
559,64
560,55
561,64
562,52
563,52
564,56
565,58
566,46
567,42
568,50
569,42
570,47
571,56
572,50
573,61
574,54
575,48
576,48
577,36
578,47
579,43
580,56
581,49
582,45
583,43
584,47
585,39
586,56
587,52
588,47
589,51
590,46
591,41
592,45
593,38
594,57
595,56
596,48
597,45
598,28
599,42
600,46
601,39
602,47
603,41
604,33
605,41
606,34
607,35
608,43
609,39
610,58
611,43
612,39
613,29
614,38
615,49
616,49
617,37
618,38
619,35
620,42
621,37
622,35
623,39
624,28
625,35
626,30
627,36
628,33
629,19
630,46
631,33
632,37
633,14
634,30
635,49
636,28
637,39
638,25
639,23
640,32
641,30
642,32
643,24
644,13
645,36
646,35
647,23
648,22
649,17
650,30
651,18
652,25
653,16
654,9
655,29
656,20
657,20
658,17
659,10
660,28
661,27
662,18
663,14
664,8
665,28
666,22
667,13
668,9
669,10
670,19
671,20
672,10
673,3
674,3
675,27
676,18
677,11
678,4
679,3
680,30
681,13
682,7
683,2
684,2
685,26
686,14
687,7
688,4
689,2
690,27
691,7
692,1
695,24
696,10
700,27
705,20
706,2
710,20
711,2
715,12
720,4
(blank),
Grand Total,63378
